Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_71,1e-7,-0.7,0.5,ID_171,A_Test
R_72,1e-7,-0.7,0.5,ID_172,A_Test
R_73,1e-7,-0.7,0.5,ID_173,A_Test
R_74,1e-7,-0.7,0.5,ID_174,A_Test
R_75,1e-7,-0.7,0.5,ID_175,A_Test
R_76,1e-7,-0.7,0.5,ID_176,A_Test
R_77,1e-7,-0.7,0.5,ID_177,A_Test
R_78,1e-7,-0.7,0.5,ID_178,A_Test
R_79,1e-7,-0.7,0.5,ID_179,A_Test
R_80,1e-7,-0.7,0.5,ID_180,A_Test
R_81,1e-7,-0.7,0.5,ID_181,A_Test
R_82,1e-7,-0.7,0.5,ID_182,A_Test
R_83,1e-7,-0.7,0.5,ID_183,A_Test
R_84,1e-7,-0.7,0.5,ID_184,A_Test
R_85,1e-7,-0.7,0.5,ID_185,A_Test
R_86,1e-7,-0.7,0.5,ID_186,A_Test
R_87,1e-7,-0.7,0.5,ID_187,A_Test
R_88,1e-7,-0.7,0.5,ID_188,A_Test
R_89,1e-7,-0.7,0.5,ID_189,A_Test
R_90,1e-7,-0.7,0.5,ID_190,A_Test
R_91,1e-7,-0.7,0.5,ID_191,A_Test
R_92,1e-7,-0.7,0.5,ID_192,A_Test
R_93,1e-7,-0.7,0.5,ID_193,A_Test
R_94,1e-7,-0.7,0.5,ID_194,A_Test
R_95,1e-7,-0.7,0.5,ID_195,A_Test
R_96,1e-7,-0.7,0.5,ID_196,A_Test
R_97,1e-7,-0.7,0.5,ID_197,A_Test
R_98,1e-7,-0.7,0.5,ID_198,A_Test
R_99,1e-7,-0.7,0.5,ID_199,A_Test
R_100,1e-7,-0.7,0.5,ID_200,A_Test
R_1,1e-7,-0.3,0.5,ID_201,A_Test
R_2,1e-7,-0.3,0.5,ID_202,A_Test
R_3,1e-7,-0.3,0.5,ID_203,A_Test
R_4,1e-7,-0.3,0.5,ID_204,A_Test
R_5,1e-7,-0.3,0.5,ID_205,A_Test
R_6,1e-7,-0.3,0.5,ID_206,A_Test
R_7,1e-7,-0.3,0.5,ID_207,A_Test
R_8,1e-7,-0.3,0.5,ID_208,A_Test
R_9,1e-7,-0.3,0.5,ID_209,A_Test
R_10,1e-7,-0.3,0.5,ID_210,A_Test
R_11,1e-7,-0.3,0.5,ID_211,A_Test
R_12,1e-7,-0.3,0.5,ID_212,A_Test
R_13,1e-7,-0.3,0.5,ID_213,A_Test
R_14,1e-7,-0.3,0.5,ID_214,A_Test
R_15,1e-7,-0.3,0.5,ID_215,A_Test
R_16,1e-7,-0.3,0.5,ID_216,A_Test
R_17,1e-7,-0.3,0.5,ID_217,A_Test
R_18,1e-7,-0.3,0.5,ID_218,A_Test
R_19,1e-7,-0.3,0.5,ID_219,A_Test
R_20,1e-7,-0.3,0.5,ID_220,A_Test
R_21,1e-7,-0.3,0.5,ID_221,A_Test
R_22,1e-7,-0.3,0.5,ID_222,A_Test
R_23,1e-7,-0.3,0.5,ID_223,A_Test
R_24,1e-7,-0.3,0.5,ID_224,A_Test
R_25,1e-7,-0.3,0.5,ID_225,A_Test
R_26,1e-7,-0.3,0.5,ID_226,A_Test
R_27,1e-7,-0.3,0.5,ID_227,A_Test
R_28,1e-7,-0.3,0.5,ID_228,A_Test
R_29,1e-7,-0.3,0.5,ID_229,A_Test
R_30,1e-7,-0.3,0.5,ID_230,A_Test
R_31,1e-7,-0.3,0.5,ID_231,A_Test
R_32,1e-7,-0.3,0.5,ID_232,A_Test
